"last","st","chamber","id","subcommittee","account","department","recipient","location","project","budget_request","additional_amount","amount","first.x","multi","origination","member_amount","house_mem","sentate_mem","house_tot","senate_tot","first.y","middle_name","suffix","nickname","full_name","birthday","gender","district","senate_class","party","bioguide_id"
"Baldwin","WI","S",6134,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Campbell","Town of Campbell for PFAS Remediation in Drinking Water Wells",NA,NA,1666000,NA,1,"S",1666000,0,1,0,1666000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",6135,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,NA,"Rib Mountain Sanitary District for Drinking Water Plant and PFAS Mitigation",NA,NA,1667000,NA,1,"S",1667000,0,1,0,1667000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",6136,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Park Falls","City of Park Falls for Water and Sewer Aging Infrastructure Improvements",NA,NA,1667000,NA,1,"S",1667000,0,1,0,1667000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",6137,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Eau Claire","Eau Claire Waterworks for Drinking Water Infrastructure",NA,NA,1666000,NA,1,"S",1666000,0,1,0,1666000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",6138,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Peshtigo","Town of Peshtigo for Safe Drinking Water Infrastructure",NA,NA,1667000,NA,1,"S",1667000,0,1,0,1667000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",6139,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Wausau","City of Wausau for Drinking Water PFAS Response Project",NA,NA,1667000,NA,1,"S",1667000,0,1,0,1667000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",6715,"Homeland","Federal Assistance-PDM","FEMA","Ashland County","Ashland County","Madeline Island County H / Lake Superior Mitigation (CDS)",NA,NA,9e+05,NA,1,"S",9e+05,0,1,0,9e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",6795,"Homeland","Federal Assistance-PDM","FEMA","Douglas County","Douglas County","Douglas County Nemadji River Bridge Mitigation",NA,NA,825000,NA,1,"S",825000,0,1,0,825000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",6977,"EW","Investigations","Army Corps of Engineers (Civil)","U.S. Army Corps of Engineers","Menominee River","Menominee River Deepening, MI & WI",NA,6e+05,6e+05,NA,2,"S",3e+05,0,2,0,6e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Bennet","CO","S",370,"FSGG","Salaries and Expenses","Small Business Administration (SBA)","African Chamber of Commerce Colorado USA","Denver","The Colorado African Small Business Accelerator Program",NA,NA,1260000,NA,1,"S",1260000,0,1,0,1260000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",1541,"THUD","Highway Infrastructure Programs","Department of Transportation",NA,NA,"Peterson Space Force Base North Gate Access and Safety improvements",NA,NA,5e+05,NA,2,"S",250000,0,2,0,5e+05,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",2370,"THUD","Community Development Fund","Department of Housing and Urban Development","New Dance Theatre, Inc. dba Cleo Parker Robinson Dance",NA,"Cleo Parker Campus Expansion",NA,NA,1e+06,NA,1,"S",1e+06,0,1,0,1e+06,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",2373,"THUD","Community Development Fund","Department of Housing and Urban Development","Archway Housing & Services Inc.",NA,"Archway Communities Park Hill Campus Rehabilitation",NA,NA,3e+06,NA,2,"S",1500000,0,2,0,3e+06,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",2378,"THUD","Community Development Fund","Department of Housing and Urban Development","YWCA of Pueblo",NA,"YWCA of Pueblo Childcare Center Development",NA,NA,1500000,NA,2,"S",750000,0,2,0,1500000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",2382,"THUD","Community Development Fund","Department of Housing and Urban Development","Children's Advocacy Center for the Pikes Peak Region Inc.",NA,"Child Advocacy Center Construction for the Pikes Peak Region",NA,NA,360000,NA,2,"S",180000,0,2,0,360000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",3741,"LHHS","Employment and Training Administration","Department of Labor",NA,NA,"Banner Health Foundation, CO, for a career pathways program",NA,NA,717000,NA,2,"S",358500,0,2,0,717000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",3755,"LHHS","Employment and Training Administration","Department of Labor",NA,NA,"CareerWise Colorado, CO, for a career pathways program,including the purchase of equipment",NA,NA,1500000,NA,1,"S",1500000,0,1,0,1500000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",3856,"LHHS","Employment and Training Administration","Department of Labor",NA,"Fort  Morgan","Morgan Community College, CO, for the purchase of simulation equipment for the nursing program",NA,NA,274000,NA,2,"S",137000,0,2,0,274000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",4557,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Inner City Health Center, CO, for facilities and equipment",NA,NA,2820000,NA,2,"S",1410000,0,2,0,2820000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",4602,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,"La Plata County","La Plata County, CO, for facilities and equipment",NA,NA,1825000,NA,2,"S",912500,0,2,0,1825000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",4652,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"MarillacHealth, CO, for facilities and equipment",NA,NA,2500000,NA,2,"S",1250000,0,2,0,2500000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",4692,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"National Jewish Health, CO, for facilities and equipment",NA,NA,6075000,NA,1,"S",6075000,0,1,0,6075000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",4999,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Vail Health, CO, for facilities and equipment",NA,NA,2705000,NA,2,"S",1352500,0,2,0,2705000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",5625,"LHHS","Higher Education","Department of Education",NA,NA,"Fort Lewis College, CO, for a nursing workforce education degree program",NA,NA,1300000,NA,2,"S",650000,0,2,0,1300000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",5912,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,NA,"Beulah Water Works District for Raw Water Storage",NA,NA,380000,NA,2,"S",190000,0,2,0,380000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",5913,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Naturita","Town of Naturita for Wastewater Treatment Plant Lagoon Upgrade and Collection System",NA,NA,1250000,NA,2,"S",625000,0,2,0,1250000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",5914,"Interior","STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Delta","City of Delta for North Delta Water Line Replacement",NA,NA,380000,NA,2,"S",190000,0,2,0,380000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",6225,"Interior","STAG-Clean Water State Revolving Fund","Environmental Protection Agency",NA,"La Jara","Town of La Jara for Wastewater Sewer Lagoon Rehab Project",NA,NA,6e+05,NA,1,"S",6e+05,0,1,0,6e+05,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",6226,"Interior","STAG-Clean Water State Revolving Fund","Environmental Protection Agency",NA,"DeBeque","Town of DeBeque for Wastewater Treatment Plant",NA,NA,1246000,NA,2,"S",623000,0,2,0,1246000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",6621,"Interior","State and Private Forestry-Forest Resource Information and Analysis","Forest Service",NA,NA,"Colorado State Forest Service for Creating Resilient Forests in Colorado",NA,NA,3464000,NA,1,"S",3464000,0,1,0,3464000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",6727,"Homeland","Federal Assistance-EOC","FEMA","Chaffee County Government","Chaffee County","Chaffee County North End Public Safety Complex",NA,NA,1e+06,NA,1,"S",1e+06,0,1,0,1e+06,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",6758,"Homeland","Federal Assistance-EOC","FEMA","City of Monte Vista","Monte Vista","Monte Vista Emergency Disaster Resources",NA,NA,828000,NA,1,"S",828000,0,1,0,828000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Bennet","CO","S",6811,"Homeland","Federal Assistance-EOC","FEMA","Jefferson County Sheriff's Office","Jefferson County","Jefferson County Emergency Operations Center Relocation",NA,NA,480000,NA,1,"S",480000,0,1,0,480000,"Michael","F.",NA,NA,"Michael F. Bennet","11/28/64","M",NA,3,"Democrat","B001267"
"Blumenthal","CT","S",373,"FSGG","Salaries and Expenses","Small Business Administration (SBA)","Connecticut Resource Conservation & Development Area","Haddam","Connecticut Farmer Resource Hub and Marketing Initiative",NA,NA,5550000,NA,2,"S",2775000,0,2,0,5550000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",519,"FSGG","Salaries and Expenses","Small Business Administration (SBA)","Women's Business Development Council Inc.","Stamford","Expanasion of Small Business Development Programs to Women-Owned Businesses in Connecticut",NA,NA,2e+06,NA,3,"B",666666.6667,1,2,666666.6667,1333333.333,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",671,"CJS","NOAA-ORF","DOC","Sea Research Foundation Inc. DBA Mystic Aquarium","Mystic","Blue Economy Career Development Center",NA,NA,650000,NA,2,"S",325000,0,2,0,650000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",672,"CJS","NOAA-ORF","DOC","Morgan State University","Calvert County","Morgan State University's PEARL Lab Student Research Enhancements",NA,NA,1e+06,NA,2,"S",5e+05,0,2,0,1e+06,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",673,"CJS","NOAA-ORF","DOC","St. Mary's River Watershed Association","Lexington Park","Oyster Restoration in the St.Mary's River Shellfish Sanctuary",NA,NA,185000,NA,2,"S",92500,0,2,0,185000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",674,"CJS","NOAA-ORF","DOC","University of Maryland Center for Environmental Science","Dorchester County","Oyster Research to Enhance Resiliency",NA,NA,960000,NA,2,"S",480000,0,2,0,960000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",1549,"THUD","Highway Infrastructure Programs","Department of Transportation",NA,NA,"Shoreline Greenway Trail–New Haven",NA,NA,7e+06,NA,2,"S",3500000,0,2,0,7e+06,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",1550,"THUD","Highway Infrastructure Programs","Department of Transportation",NA,NA,"Waterbury Signal Replacement",NA,NA,1400000,NA,2,"S",7e+05,0,2,0,1400000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",1551,"THUD","Highway Infrastructure Programs","Department of Transportation",NA,NA,"Oxford Main Street (Route 67) Multiuse Trail-Dutton Road to Quarry Walk Design and Construction",NA,NA,3400000,NA,2,"S",1700000,0,2,0,3400000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",1552,"THUD","Highway Infrastructure Programs","Department of Transportation",NA,NA,"Realignment of Lafayette Circle",NA,NA,5e+06,NA,2,"S",2500000,0,2,0,5e+06,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",3724,"LHHS","Employment and Training Administration","Department of Labor",NA,NA,"4–H Education Center at Auerfarm, Inc., CT, for workforce development for students with disabilities",NA,NA,204000,NA,2,"S",102000,0,2,0,204000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",3754,"LHHS","Employment and Training Administration","Department of Labor",NA,NA,"CCARC, Inc., CT, for workforce development programs for individuals with disabilities",NA,NA,54000,NA,2,"S",27000,0,2,0,54000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",3972,"LHHS","Employment and Training Administration","Department of Labor",NA,NA,"Youth Business Initiative, Inc., CT, for workforce development programs",NA,NA,76000,NA,2,"S",38000,0,2,0,76000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",3985,"LHHS","Administration for Children and Families","Department of Health and Human Services",NA,"Bridgeport","Bridgeport Youth Lacrosse Inc., CT, for recreational programming and support for low income families",NA,NA,1e+05,NA,2,"S",50000,0,2,0,1e+05,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4012,"LHHS","Administration for Children and Families","Department of Health and Human Services",NA,NA,"Connecticut Coalition Against Domestic Violence, CT, for a therapy support program for children affected by domestic violence",NA,NA,216000,NA,2,"S",108000,0,2,0,216000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4021,"LHHS","Administration for Children and Families","Department of Health and Human Services",NA,"Fairfield County","Fairfield County's Community Foundation, CT, for economic inequality and mobility research",NA,NA,462000,NA,2,"S",231000,0,2,0,462000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4091,"LHHS","Administration for Children and Families","Department of Health and Human Services",NA,NA,"Saint Joseph Parenting Center, CT, for services for families and children at risk of child abuse and neglect",NA,NA,50000,NA,2,"S",25000,0,2,0,50000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4207,"LHHS","Administration for Community Living","Department of Health and Human Services",NA,NA,"United Way of Western Connecticut, CT, for a nutrition services program",NA,NA,1050000,NA,2,"S",525000,0,2,0,1050000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4354,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,"Bridgeport","City of Bridgeport, CT, for equipment",NA,NA,2e+05,NA,1,"S",2e+05,0,1,0,2e+05,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4355,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,"Bridgeport","City of Bridgeport, CT, for facilities and equipment",NA,NA,2e+05,NA,2,"S",1e+05,0,2,0,2e+05,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4359,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,"Hartford","City of Hartford, CT, for facilities and equipment",NA,NA,1500000,NA,2,"S",750000,0,2,0,1500000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4384,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Community Child Guidance Clinic, Inc., CT, for facilities and equipment",NA,NA,1e+05,NA,2,"S",50000,0,2,0,1e+05,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4397,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Connecticut Children's Medical Center, CT, for facilities and equipment",NA,NA,1800000,NA,2,"S",9e+05,0,2,0,1800000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4398,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Connecticut Counseling Centers Inc, CT, for equipment",NA,NA,255000,NA,2,"S",127500,0,2,0,255000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4402,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Continuum of Care, Inc., CT, for facilities and equipment",NA,NA,630000,NA,2,"S",315000,0,2,0,630000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4434,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Cure Rare Disease, CT, for facilities and equipment",NA,NA,2e+06,NA,2,"S",1e+06,0,2,0,2e+06,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4559,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"InterCommunity, Inc, CT, for facilities and equipment",NA,NA,1800000,NA,2,"S",9e+05,0,2,0,1800000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4588,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Keystone House Inc., CT, for facilities and equipment",NA,NA,5e+05,NA,2,"S",250000,0,2,0,5e+05,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4619,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"LifeBridge Community Services, Inc., CT, for facilities and equipment",NA,NA,350000,NA,2,"S",175000,0,2,0,350000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4639,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,"Manchester","MARC, Inc. of Manchester, CT, for facilities and equipment",NA,NA,175000,NA,2,"S",87500,0,2,0,175000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4657,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"McCall Foundation, Inc., CT, for facilities and equipment",NA,NA,325000,NA,2,"S",162500,0,2,0,325000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4752,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Optimus Health Care, Inc., CT, for facilities and equipment",NA,NA,1e+06,NA,2,"S",5e+05,0,2,0,1e+06,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4795,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Reliance Health, Inc., CT, for facilities and equipment",NA,NA,207000,NA,2,"S",103500,0,2,0,207000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4908,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"The Connection, Inc., CT, for facilities and equipment",NA,NA,43000,NA,2,"S",21500,0,2,0,43000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",4919,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"The Village for Families and Children, CT, for facilities and equipment",NA,NA,1100000,NA,2,"S",550000,0,2,0,1100000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",5043,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Wheeler Clinic, Inc., CT, for facilities and equipment",NA,NA,980000,NA,2,"S",490000,0,2,0,980000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",5060,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,"Greenwich","YWCA Greenwich Connecticut, Inc. Sexual Assault Services Program Space, CT, for facilities and equipment",NA,NA,1e+05,NA,2,"S",50000,0,2,0,1e+05,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",5121,"LHHS","Substance Use and Mental Health Services Administration","Department of Health and Human Services",NA,NA,"Connecticut Community for Addiction Recovery, CT, for recovery support services, including equipment",NA,NA,1500000,NA,2,"S",750000,0,2,0,1500000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",5219,"LHHS","Substance Use and Mental Health Services Administration","Department of Health and Human Services",NA,NA,"The Connection, Inc., CT, for mental health, substance use, and behavioral health services training",NA,NA,2e+05,NA,2,"S",1e+05,0,2,0,2e+05,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",5220,"LHHS","Substance Use and Mental Health Services Administration","Department of Health and Human Services",NA,NA,"The Governor's Prevention Partnership, CT, for substance use prevention and training",NA,NA,1122000,NA,2,"S",561000,0,2,0,1122000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",5221,"LHHS","Substance Use and Mental Health Services Administration","Department of Health and Human Services",NA,NA,"The Greater Bridgeport Opportunities Industrialization Center, Inc., CT, for youth mental health programming, including equipment",NA,NA,25000,NA,2,"S",12500,0,2,0,25000,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
"Blumenthal","CT","S",5295,"LHHS","Elementary and Secondary Education","Department of Education",NA,"Bridgeport","Bridgeport Board of Education, CT, for in-person and virtual library programs, including purchase of books, materials and virtual library resources",NA,NA,2e+06,NA,2,"S",1e+06,0,2,0,2e+06,"Richard",NA,NA,NA,"Richard Blumenthal","2/13/46","M",NA,3,"Democrat","B001277"
