last,st,subcommittee,location,chamber,id,account,department,recipient.x,project.x,budget_request,additional_amount,amount.x,first.x,multi,origination,member_amount,house_mem,sentate_mem,house_tot,senate_tot,first.y,middle_name,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,district,senate_class.x,party.x,bioguide_id,...1,...2,state,first,full_name.y,recipient.y,project.y,project_st,amount.y,senate_class.y,party.y,member_id,pvi_2020,request_num,ID,FY,middle,member_ID,suffix.y,nickname.y,birthday.y,gender.y,cat,sub,address.lon,address.lat,formatted_address.lon,formatted_address.lat,formatted_address.type,formatted_address.loctype,formatted_address.address,formatted_address.north,formatted_address.south,formatted_address.east,formatted_address.west,manual_check
Brown,OH,EW,Cincinnati,S,6924,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,"Ohio Riverfront, Cincinnati, OH",NA,900000,900000,NA,2,B,450000,1,1,450000,450000,Sherrod,NA,NA,NA,Sherrod Brown,11/9/52,M,NA,1,Democrat,B000944,2257,2257,Ohio,Sherrod,NA,Corps of Engineers,"Smale Riverfront Park is the City’s “front yard”; and green gateway to southwest Ohio. The City of Cincinnati partnered with the local corporate community, the major league sports teams that are neighbors to the site, Hamilton County and the Corps of",OH,1200000,NA,2,NA,NA,1,6642,FY2023,NA,B000944,NA,NA,NA,NA,Water,NA,-84.509567,39.10255,-84.509567,39.10255,establishment,rooftop,550 main st,cincinnati,oh 45202,usa,"39.10381, 39.10111, -84.508412, -84.511110",NA
Brown,OH,EW,Cleveland,S,6923,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,"Ohio Environmental Infrastructure, Section 594, OH (Cleveland)",NA,1000000,1000000,NA,1,S,1000000,0,1,0,1000000,Sherrod,NA,NA,NA,Sherrod Brown,11/9/52,M,NA,1,Democrat,B000944,2263,2263,Ohio,Sherrod,NA,Corps of Engineers,"East 97 Street between Cedar Avenue and Quebec Avenue is a residential neighborhood. The existing main sewer was built in 1891. Due to age, the sewer is structurally deteriorated. This caused property and street flooding. The proposed project consist",OH,1000000,NA,2,NA,NA,1,6648,FY2023,NA,B000944,NA,NA,NA,NA,Water,NA,-81.694535,41.50965,-81.694535,41.50965,establishment,rooftop,1035 e 9th st,cleveland,oh 44114,usa,"41.51094, 41.50824, -81.693129, -81.695827",NA
Brown,OH,FSGG,Dayton,S,568,Salaries and Expenses,Small Business Administration (SBA),University of Dayton,Greater West Dayton Incubator,NA,NA,1500000,NA,2,B,750000,1,1,750000,750000,Sherrod,NA,NA,NA,Sherrod Brown,11/9/52,M,NA,1,Democrat,B000944,2613,2613,Ohio,Sherrod,NA,Greater West Dayton Incubator,"GWDI is seeking $1.5 million in funding to build a permanent space of approximately 20,000 square feet in the heart of West Dayton, the assets of which entrepreneurs can leverage to establish and grow their businesses. The development of the new loca",OH,1500000,NA,2,NA,NA,1,7814,FY2023,NA,B000944,NA,NA,NA,NA,Small Business,NA,-84.245783,39.75422,-84.245783,39.75422,establishment,rooftop,3359 delphos ave,dayton,oh 45417,usa,"39.75552, 39.75282, -84.244507, -84.247204",NA
Brown,OH,THUD,Hamilton County,S,3296,Community Development Fund,Department of Housing and Urban Development,Hamilton County,Lincoln Heights Public Safety Redevelopment,NA,NA,4000000,NA,1,S,4000000,0,1,0,4000000,Sherrod,NA,NA,NA,Sherrod Brown,11/9/52,M,NA,1,Democrat,B000944,10519,10519,Ohio,Sherrod,NA,"Hamilton County, Ohio","The Lincoln Heights Redevelopment Project will remove the existing Cincinnati Police Department training facility from its current location, adjacent to the densely populated villages of Lincoln Heights and Woodlawn and to a public housing developmen",OH,4000000,NA,2,NA,NA,1,30609,FY2023,NA,B000944,NA,NA,NA,NA,Housing,NA,-84.564147,39.23555,-84.564147,39.23554,administrative_area_level_2,approximate,hamilton county,oh,usa,39.31206,"39.02208, -84.256333, -84.820305",NA
Burr,NC,CJS,Cumberland County,S,816,COPS Tech,DOJ,Cumberland County,Law Enforcement Communications Systems Upgrades,NA,NA,2474000,NA,2,S,1237000,0,2,0,2474000,Richard,M.,NA,NA,Richard Burr,11/30/55,M,NA,3,Republican,B001135,1230,1230,North Carolina,Richard,NA,"Cumberland County, NC",To upgrade law enforcement communication systems.,NC,2474000,NA,1,NA,NA,1,3271,FY2023,NA,B001135,NA,NA,NA,NA,Law Enforcement,NA,-78.747621,34.95426,-78.747621,34.95426,administrative_area_level_2,approximate,cumberland county,nc,usa,35.26691,"34.83486, -78.494678, -79.112921",NA
Cantwell,WA,CJS,Snohomish County,S,1076,OJP-Byrne,DOJ,Snohomish County Sheriff's Office,Rapid DNA System,NA,NA,448000,NA,1,S,448000,0,1,0,448000,Maria,NA,NA,NA,Maria Cantwell,10/13/58,F,NA,1,Democrat,C000127,1343,1343,Washington,Maria,NA,Snohomish County Sheriff’s Office,For Snohomish County Sheriff’s Office to purchase a Rapid DNA System,WA,448000,NA,2,NA,NA,1,3384,FY2023,NA,C000127,NA,NA,NA,NA,Law Enforcement,NA,-122.206171,47.97709,-122.206171,47.97709,establishment,rooftop,ms606,3000 rockefeller ave #606,everett,wa 98201,"usa, 47.97836, 47.97567,-122.204607,-122.207305",NA
Capito,WV,MilCon VA,Charleston,S,1326,NA,Air National Guard,McLaughlin ANGB,C-130J Apron Expansion,NA,NA,7500000,NA,1,S,7500000,0,1,0,7500000,Shelley,Moore,NA,NA,Shelley Moore Capito,11/26/53,F,NA,2,Republican,C001047,9900,9900,West Virginia,Shelley,NA,McLaughlin Air National Guard Base,Construct concrete aircraft parking apron,WV,7500000,NA,1,NA,NA,1,29205,FY2023,Moore,C001047,NA,NA,NA,NA,Base Operations,NA,-81.586895,38.37261,-81.586895,38.37261,establishment,rooftop,1679 coonskin dr,charleston,wv 25311,usa,"38.37396, 38.37126, -81.585547, -81.588244",NA
Cardin,MD,CJS,Baltimore County,S,1184,SSMS,NASA,University of Maryland Baltimore County,Earth and Space Institute Research and Equipment,NA,NA,1000000,NA,2,S,500000,0,2,0,1000000,Benjamin,L.,NA,NA,Benjamin L. Cardin,10/5/43,M,NA,1,Democrat,C000141,979,979,Maryland,Benjamin,NA,"University of Maryland, Baltimore County","The University of Maryland, Baltimore County (UMBC)’s Earth and Space Institute (ESI) supports a multidisciplinary program for research and education in earth and space sciences and engineering. The ESI plays an active role in several NASA missions a",MD,1000000,NA,2,NA,NA,1,3020,FY2023,L,C000141,NA,NA,NA,NA,Law Enforcement,NA,-76.710683,39.2554,-76.710683,39.2554,establishment,rooftop,1000 hilltop cir,baltimore,md 21250,usa,"39.25975, 39.25149, -76.702444, -76.718905",NA
Carper,DE,MilCon VA,Dover,S,1207,NA,Defense-Wide,Dover AFB,Armed Services Whole Blood Processing Laborator-East Replacement: Planning and Design,NA,NA,350000,NA,2,S,175000,0,2,0,350000,Thomas,Richard,NA,NA,Thomas R. Carper,1/23/47,M,NA,1,Democrat,C000174,9702,9702,Delaware,Thomas,NA,Dover Air Force Base,The purpose of this project is to replace the Armed Services Whole Blood Processing Laboratory – East to support the expedited transfer of blood and blood products to U.S. troops serving abroad from Dover Air Force Base.,DE,22000000,NA,2,NA,NA,1,29007,FY2023,R,C000174,NA,NA,NA,NA,Base Operations,NA,-75.471553,39.12484,-75.471553,39.12484,locality,approximate,dover afb,de,usa,39.14879,"39.10219, -75.440731, -75.494884",NA
Carper,DE,THUD,Sussex County,S,2466,Community Development Fund,Department of Housing and Urban Development,"Sussex County Habitat for Hu
manity Inc",Sussex County Habitat for Humanity Strategic Land Acquisition Project,NA,NA,600000,NA,3,B,200000,1,2,200000,400000,Thomas,Richard,NA,NA,Thomas R. Carper,1/23/47,M,NA,1,Democrat,C000174,10173,10173,Delaware,Thomas,NA,Sussex County Habitat for Humanity,"The purpose of this project is to acquire building lots for affordable homeownership opportunities throughout Sussex County, Delaware.",DE,600000,NA,2,NA,NA,1,30263,FY2023,R,C000174,NA,NA,NA,NA,Housing,NA,-75.231491,38.73399,-75.231491,38.73399,establishment,rooftop,18501 stamper dr,lewes,de 19958,usa,"38.73536, 38.73267, -75.230264, -75.232962",NA
Cassidy,LA,CJS,New Orleans,S,1186,SSMS,NASA,Louisiana State University National Center for Advanced Manufacturing,Digital Manufacturing Technology Upgrades,NA,NA,2500000,NA,1,S,2500000,0,1,0,2500000,Bill,NA,NA,NA,Bill Cassidy,9/28/57,M,NA,2,Republican,C001075,1653,1653,Louisiana,Bill,NA,LSU National Center for Advanced Manufacturing,Digital manufacturing technology upgrades,LA,3500000,NA,1,NA,NA,1,5176,FY2023,NA,C001075,NA,NA,NA,NA,Other - CJS,NA,-90.071532,29.95107,-90.071532,29.95107,locality,approximate,new orleans,la,usa,30.19933,"29.86666, -89.625053, -90.140074",NA
Collins,ME,CJS,Saco,S,825,COPS Tech,DOJ,City of Saco,Public Safety Communications Equipment Upgrade,NA,NA,667000,NA,1,S,667000,0,1,0,667000,Susan,M.,NA,NA,Susan M. Collins,12/7/52,F,NA,2,Republican,C001035,970,970,Maine,Susan,NA,"City of Saco, Maine",To upgrade and replace public safety communications equipment for the City of Saco.,ME,667000,NA,1,NA,NA,1,3011,FY2023,M,C001035,NA,NA,NA,NA,Law Enforcement,NA,-70.442829,43.50092,-70.442829,43.50092,locality,approximate,saco,me,usa,43.60682,"43.46122, -70.356513, -70.547578",NA
Collins,ME,EW,Isle au Haut,S,7027,Operation and Maintenance,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,"Isle au Haut Thoroughfare, ME",NA,150000,150000,NA,2,S,75000,0,2,0,150000,Susan,M.,NA,NA,Susan M. Collins,12/7/52,F,NA,2,Republican,C001035,2126,2126,Maine,Susan,NA,Army Corps,To fund the next phase of environmental review and design in support of maintenance dredging of a 60-year-old federal navigation channel.,ME,150000,NA,1,NA,NA,1,6511,FY2023,M,C001035,NA,NA,NA,NA,Water,NA,-68.633358,44.07536,-68.633358,44.07536,locality,approximate,isle au haut,me,usa,44.13112,"43.94799, -68.482134, -68.735492",NA
Collins,ME,MilCon VA,Woodville,S,1239,NA,Army National Guard,Woodville Training Center,Range Complex: Planning and Design,NA,NA,1400000,NA,1,S,1400000,0,1,0,1400000,Susan,M.,NA,NA,Susan M. Collins,12/7/52,F,NA,2,Republican,C001035,9758,9758,Maine,Susan,NA,Maine National Guard Woodville Training Center,"To provide planning and design of a Maine National Guard range complex, which would consist of three small arms ranges for individual weapon qualification and crew served weapons qualification.",ME,2300000,NA,1,NA,NA,1,29063,FY2023,M,C001035,NA,NA,NA,NA,Base Operations,NA,-68.45844,45.51566,-68.45844,45.51566,political,approximate,woodville,me,usa,45.57594,"45.47220, -68.360113, -68.534508",NA
Coons,DE,CJS,Newark and Dover,S,1185,SSMS,NASA,University of Delaware Delaware State University,Space Education Excellence for Delaware (SEED),NA,NA,900000,NA,2,S,450000,0,2,0,900000,Christopher,Andrew,NA,NA,Christopher A. Coons,9/9/63,M,NA,2,Democrat,C001088,1419,1419,Delaware,Christopher,NA,University of Delaware & Delaware State University,Recent milestones in the commercialization of space exploration have highlighted the vast opportunity in the nascent space economy. The Space Education Excellence for Delaware (SEED) Program seeks to inspire and empower the State’s students and resea,DE,900000,NA,2,NA,NA,1,4519,FY2023,A,C001088,NA,NA,NA,NA,Scientific Research,NA,-75.750611,39.67795,-75.750611,39.67795,establishment,geometric_center,newark,de 19716,usa,39.69207,"39.67447, -75.746120, -75.762414",NA
Coons,DE,MilCon VA,Dover,S,1207,NA,Defense-Wide,Dover AFB,Armed Services Whole Blood Processing Laborator-East Replacement: Planning and Design,NA,NA,350000,NA,2,S,175000,0,2,0,350000,Christopher,Andrew,NA,NA,Christopher A. Coons,9/9/63,M,NA,2,Democrat,C001088,9703,9703,Delaware,Christopher,NA,Dover Air Force Base,To replace the Armed Services Whole Blood Processing Laboratory – East to support the expedited transfer of blood and blood products to U.S. troops serving abroad from Dover Air Force Base.,DE,22000000,NA,2,NA,NA,1,29008,FY2023,A,C001088,NA,NA,NA,NA,Base Operations,NA,-75.471553,39.12484,-75.471553,39.12484,locality,approximate,dover afb,de,usa,39.14879,"39.10219, -75.440731, -75.494884",NA
Cortez Masto,NV,CJS,Elko,S,912,OJP-Byrne,DOJ,Elko County Sheriff's Office,Rapid DNA Testing Instrument,NA,NA,486000,NA,3,B,162000,1,2,162000,324000,Catherine,NA,NA,NA,Catherine Cortez Masto,3/29/64,F,NA,3,Democrat,C001113,1078,1078,Nevada,Catherine,NA,Elko Sheriff's Department,"The Elko Sheriff's Department's Rapid DNA Instrument project request would fund the purchase a Rapid DNA instrument to help bolster law enforcement efficiency, improve community outcomes, and assist to ease the workload in Nevada's state crime lab.",NV,486000,NA,2,NA,NA,1,3119,FY2023,NA,C001113,NA,NA,NA,NA,Law Enforcement,NA,-115.763123,40.83242,-115.763123,40.83242,locality,approximate,elko,nv 89801,usa,40.89082,"40.80304,-115.700124,-115.833841",NA
Duckworth,IL,CJS,Chicago,S,626,NIST-STRS,DOC,University of Illinois-Chicago-Public Health,Community-Driven Air Quality and Environmental Justice Assessment,NA,NA,2000000,NA,1,S,2000000,0,1,0,2000000,Tammy,NA,NA,NA,Tammy Duckworth,3/12/68,F,NA,3,Democrat,D000622,926,926,Illinois,Tammy,NA,City of Chicago,"This funding would support staff and programming focused on helping people with disabilities who are victims of violence, and people who become disabled as a result of gun and community violence.",IL,350000,NA,2,NA,NA,1,2967,FY2023,NA,D000622,NA,NA,NA,NA,Law Enforcement,NA,-87.629798,41.87811,-87.629798,41.87811,locality,approximate,chicago,il,usa,42.02313,"41.64433, -87.523661, -87.940267",NA
Durbin,IL,CJS,Lake County,S,1024,OJP-Byrne,DOJ,Lake County State's Attorney,Gun Violence Prevention Initiative,NA,NA,750000,NA,2,B,375000,1,1,375000,375000,Richard,J.,NA,NA,Richard J. Durbin,11/21/44,M,NA,2,Democrat,D000563,932,932,Illinois,Richard,NA,Lake County State's Attorney's Office,Funding for the Lake County State’s Attorney’s Office to deploy violence interrupters to high crime areas within Lake County,IL,750000,NA,2,NA,NA,1,2973,FY2023,J,D000563,NA,NA,NA,NA,Law Enforcement,NA,-87.618638,42.29046,-87.618638,42.29046,administrative_area_level_2,approximate,lake county,il,usa,42.49564,"42.14941, -87.019935, -88.199763",NA
Durbin,IL,THUD,Chicago,S,2032,Transit Infrastructure Grants,Department of Transportation,Chicago Transit Authority,Chicago Transit Authority Bus Security Shield Implementation Project,NA,NA,1000000,NA,1,S,1000000,0,1,0,1000000,Richard,J.,NA,NA,Richard J. Durbin,11/21/44,M,NA,2,Democrat,D000563,10217,10217,Illinois,Richard,NA,Chicago Park District,"Funding will be used by the Chicago Park District to rebuild the fieldhouse in Cragin Park in the Belmont-Cragin community of Chicago. Currently, Cragin Park has a small 1,395 sq. ft., outdated and dilapidated field house that does not meet the needs",IL,1000000,NA,2,NA,NA,1,30307,FY2023,J,D000563,NA,NA,NA,NA,Housing,NA,-87.629798,41.87811,-87.629798,41.87811,locality,approximate,chicago,il,usa,42.02313,"41.64433, -87.523661, -87.940267",NA
Feinstein,CA,MilCon VA,San Diego,S,1205,NA,Navy & Marine Corps,MCRD San Diego,Recruit Barracks,NA,NA,82230000,NA,1,S,82230000,0,1,0,82230000,Dianne,NA,NA,NA,Dianne Feinstein,6/22/33,F,NA,1,Democrat,F000062,9696,9696,California,Dianne,NA,Naval Base San Diego,To construct a Floating Dry-dock Mooring Facility at Mole Pier located on Naval Base San Diego,CA,132700000,NA,2,NA,NA,1,29001,FY2023,NA,F000062,NA,NA,NA,NA,Base Operations,NA,-117.130015,32.68484,-117.130015,32.68484,establishment,rooftop,3455 senn st,san diego,ca 92136,usa,"32.68604, 32.68334,-117.128786,-117.131484",NA
Gillibrand,NY,CJS,Albany County,S,679,NOAA-ORF,DOC,University at Albany State University of New York,Vertical Sensing Evaluation Initiative,NA,NA,1350000,NA,2,S,675000,0,2,0,1350000,Kirsten,E.,NA,NA,Kirsten E. Gillibrand,12/9/66,F,NA,1,Democrat,G000555,1549,1549,New York,Kirsten,NA,"University at Albany, State University of New York","The IBL plans to expand its capabilities by (i) upgrading the vacuum, control, and measurement systems of the 4 MeV accelerator (the Dynamitron), (ii) designing and building a low energy ion implant accelerator to simulate the impact of Solar winds o",NY,520000,NA,2,NA,NA,1,4649,FY2023,E,G000555,NA,NA,NA,NA,Scientific Research,NA,-73.82479,42.68503,-73.82479,42.68503,establishment,rooftop,1400 washington ave,albany,ny 12222,usa,"42.69154, 42.67788, -73.815292, -73.838857",NA
Gillibrand,NY,CJS,Albany County,S,630,NIST-STRS,DOC,University at Albany State University of New York,Advancement of the Ion Beam Laboratory,NA,NA,520000,NA,2,S,260000,0,2,0,520000,Kirsten,E.,NA,NA,Kirsten E. Gillibrand,12/9/66,F,NA,1,Democrat,G000555,1549,1549,New York,Kirsten,NA,"University at Albany, State University of New York","The IBL plans to expand its capabilities by (i) upgrading the vacuum, control, and measurement systems of the 4 MeV accelerator (the Dynamitron), (ii) designing and building a low energy ion implant accelerator to simulate the impact of Solar winds o",NY,520000,NA,2,NA,NA,1,4649,FY2023,E,G000555,NA,NA,NA,NA,Scientific Research,NA,-73.82479,42.68503,-73.82479,42.68503,establishment,rooftop,1400 washington ave,albany,ny 12222,usa,"42.69154, 42.67788, -73.815292, -73.838857",NA
Gillibrand,NY,MilCon VA,Rome,S,1278,NA,Air Force,"Air Force Research Laboratory – Hanscom Air Force Base Newport Test Annex construct HF Antennas, Newport, and Stockbridge Test Annexes: Unspecified Minor Construction","Construct HF Antennas, Newport, and Stockbridge Test Annexes: Unspecified Minor Construction",NA,NA,4200000,NA,2,S,2100000,0,2,0,4200000,Kirsten,E.,NA,NA,Kirsten E. Gillibrand,12/9/66,F,NA,1,Democrat,G000555,9816,9816,New York,Kirsten,NA,Air Force Research Laboratory,Construction of these towers to support RDT&E efforts of AFRL will provide resilient and modernized HF and LF infrastructure for USAF use. Completion of this project will provide AFRL/RI the capability to advance warfighting communication technologie,NY,4500000,NA,2,NA,NA,1,29121,FY2023,E,G000555,NA,NA,NA,NA,Base Operations,NA,-75.45573,43.21285,-75.45573,43.21285,locality,approximate,rome,ny,usa,43.28152,"43.16889, -75.340914, -75.667017",NA
Heinrich,NM,CJS,Albuquerque,S,1106,OJP-Byrne,DOJ,Bernalillo County Metropolitan Court,Probation Assistance Program,NA,NA,240000,NA,1,S,240000,0,1,0,240000,Martin,NA,NA,NA,Martin Heinrich,10/17/71,M,NA,1,Democrat,H001046,1161,1161,New Mexico,Martin,NA,County of Bernalillo,"Bernalillo County’s Behavioral Health Services Department will continue its diversion program for nonviolent, drug-related offenders.",NM,412000,NA,2,NA,NA,1,3202,FY2023,NA,H001046,NA,NA,NA,NA,Law Enforcement,NA,-106.650422,35.08439,-106.650422,35.08439,locality,approximate,albuquerque,nm,usa,35.21805,"34.94677,-106.471163,-106.881796",NA
Hirono,HI,THUD,Hawaii County,S,2588,Community Development Fund,Department of Housing and Urban Development,County of Hawaii,Hilo Memorial Hospital Renovations,NA,NA,13000000,NA,2,S,6500000,0,2,0,13000000,Mazie,K.,NA,NA,Mazie K. Hirono,11/3/47,F,NA,1,Democrat,H001042,12832,12832,Hawaii,Mazie,NA,County of Hawaii OHCD,To provide facilities for necessary community services.,HI,13000000,NA,2,NA,NA,1,37867,FY2023,K,H001042,NA,NA,NA,NA,Urban Development,NA,-156.003895,19.67372,-156.003895,19.67372,establishment,rooftop,west hawaii civic center,5044 ane keohokalole hwy building b 2nd floor,74,kailua-kona,"hi 96740, usa, 19.67521, 19.67251,-156.002573,-156.005271",NA
