last,st,chamber,id,subcommittee,account,department,recipient,location,project,budget_request,additional_amount,amount,first.x,multi,origination,member_amount,house_mem,sentate_mem,house_tot,senate_tot,first.y,middle_name,suffix,nickname,full_name,birthday,gender,district,senate_class,party,bioguide_id,recipient.x,recipient.y,project.x,project.y,amount.x,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,senate_class.x,party.x,...35,...36,state,first,full_name.y,project_st,amount.y,senate_class.y,party.y,member_id,pvi_2020,request_num,ID,FY,middle,member_ID,suffix.y,nickname.y,birthday.y,gender.y,cat,sub,address.lon,address.lat,formatted_address.lon,formatted_address.lat,formatted_address.type,formatted_address.loctype,formatted_address.address,formatted_address.north,formatted_address.south,formatted_address.east,formatted_address.west
Burr,NC,S,1288,MilCon VA,,Army National Guard,Morrisville,Morrisville,Army Aviation Flight Facility #1: Planning and Design,,,4500000.0,,2.0,S,2250000.0,0,2,0.0,4500000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,1741,THUD,Highway Infrastructure Programs,Department of Transportation,,,Pavement Rehabilitation on US-64 (Future I-87),,,12300000.0,,1.0,S,12300000.0,0,1,0.0,12300000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,1742,THUD,Highway Infrastructure Programs,Department of Transportation,,,I-40 Concrete Replacement and I-26/I-40/I-240 Initial Interchange Improvements,,,10250000.0,,1.0,S,10250000.0,0,1,0.0,10250000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,3036,THUD,Community Development Fund,Department of Housing and Urban Development,Second Harvest Food Bank of Northwest North Carolina,,Second Harvest Food Bank Accelerating Food Assistance Program,,,1000000.0,,1.0,S,1000000.0,0,1,0.0,1000000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,3823,LHHS,Employment and Training Administration,Department of Labor,,,"Industries of the Blind, Inc., NC, for a workforce development program, including equipment and supportive services",,,908000.0,,2.0,S,454000.0,0,2,0.0,908000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,3869,LHHS,Employment and Training Administration,Department of Labor,,,"North Carolina Biotechnology Center, NC, for a workforce development program, including equipment, curriculum, and supportive services",,,825000.0,,2.0,S,412500.0,0,2,0.0,825000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,4793,LHHS,Health Resources and Services Administration,Department of Health and Human Services,,,"RegenMed Development Organization, NC, for equipment",,,5000000.0,,2.0,S,2500000.0,0,2,0.0,5000000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,5227,LHHS,Substance Use and Mental Health Services Administration,Department of Health and Human Services,,,"The University of North Carolina System, NC, for suicide prevention activities",,,230000.0,,2.0,B,115000.0,1,1,115000.0,115000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,6393,Interior,STAG-Clean Water State Revolving Fund,Environmental Protection Agency,,Brunswick County,Brunswick County for Northwest Water Treatment Plant to Bell Swamp Transmission Project,,,2105000.0,,1.0,S,2105000.0,0,1,0.0,2105000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,6955,EW,Investigations,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Brunswick County  (Holden Beach),"Brunswick County Beaches, NC (Holden Beach)",,1000000.0,1000000.0,,2.0,B,500000.0,1,1,500000.0,500000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,6956,EW,Investigations,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Brunswick County Beaches (Oak Island),"Brunswick County Beaches, NC (Oak Island)",,500000.0,500000.0,,1.0,S,500000.0,0,1,0.0,500000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,6997,EW,Investigations,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Wilmington Harbor,"Wilmington Harbor Navigation Improvements, NC",,1500000.0,1500000.0,,3.0,B,500000.0,1,2,500000.0,1000000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,7034,EW,Operation and Maintenance,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Manteo (Shallowbag) Bay,"Manteo (Shallowbag) Bay, NC",1420000.0,5845000.0,7265000.0,,1.0,S,7265000.0,0,1,0.0,7265000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,7042,EW,Operation and Maintenance,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Rollinson Channel,"Rollinson Channel, NC",2605000.0,1060000.0,3665000.0,,1.0,S,3665000.0,0,1,0.0,3665000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burr,NC,S,7052,EW,Operation and Maintenance,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Pamlico Sound and Beaufort Harbor,"Waterway Connecting Pamlico Sound and Beaufort Harbor, NC",,2615000.0,2615000.0,,1.0,S,2615000.0,0,1,0.0,2615000.0,Richard,M.,,,Richard Burr,11/30/55,M,,3.0,Republican,B001135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,1937,THUD,Highway Infrastructure Programs,Department of Transportation,,,Grace Avenue Realignment-Phase II,,,2000000.0,,2.0,S,1000000.0,0,2,0.0,2000000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,1938,THUD,Highway Infrastructure Programs,Department of Transportation,,,The Makah Tribe-Makah Passage and Hobuck Residential Road Project,,,2000000.0,,2.0,S,1000000.0,0,2,0.0,2000000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,1954,THUD,Highway Infrastructure Programs,Department of Transportation,,Yakima County,Yakima County East-West Corridor,,,2500000.0,,3.0,B,833333.3333,1,2,833333.3333,1666666.667,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,3969,LHHS,Employment and Training Administration,Department of Labor,,,"Workforce Southwest Washington, WA, for the Future Leaders Project",,,350000.0,,1.0,S,350000.0,0,1,0.0,350000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,4467,LHHS,Health Resources and Services Administration,Department of Health and Human Services,,,"Family Solutions, Inc., WA, for facilities and equipment",,,816000.0,,2.0,S,408000.0,0,2,0.0,816000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,4501,LHHS,Health Resources and Services Administration,Department of Health and Human Services,,Moses Lake,"Grant County Public Hospital District No 1, dba Samaritan Healthcare, Moses Lake, WA for facilities and equipment",,,2500000.0,,2.0,B,1250000.0,1,1,1250000.0,1250000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,4570,LHHS,Health Resources and Services Administration,Department of Health and Human Services,,,"Jefferson Healthcare, WA, for equipment",,,2500000.0,,1.0,S,2500000.0,0,1,0.0,2500000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,4840,LHHS,Health Resources and Services Administration,Department of Health and Human Services,,Seattle,"Seattle Children's Hospital, WA, for facilities and equipment",,,5000000.0,,1.0,S,5000000.0,0,1,0.0,5000000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,5466,LHHS,Elementary and Secondary Education,Department of Education,,Lower Yakima Valley,"Save the Children Lower Yakima Valley, WA, to reduce food insecurity and increase child literacy, which may include vehicle purchase, use, and maintenance, and equipment",,,891000.0,,1.0,S,891000.0,0,1,0.0,891000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,5492,LHHS,Elementary and Secondary Education,Department of Education,,Tacoma,"Tacoma Public Schools, WA, for afterschool education and enrichment",,,648000.0,,1.0,S,648000.0,0,1,0.0,648000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,5536,LHHS,Elementary and Secondary Education,Department of Education,,,"West Sound STEM Network/SK School District, WA, to improve the capacity of education systems and communities to provide STEM educational experiences aligned with high-demand, regional employment sectors",,,1077000.0,,1.0,S,1077000.0,0,1,0.0,1077000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,5582,LHHS,Higher Education,Department of Education,,Central Washington,"Central Washington University, WA, for agribusiness program development",,,75000.0,,1.0,S,75000.0,0,1,0.0,75000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6124,Interior,STAG- Drinking Water State Revolving Fund,Environmental Protection Agency,,West Richland,City of West Richland for Flat Top Community Park Well Replacement and Hazard Elimination,,,2500000.0,,2.0,S,1250000.0,0,2,0.0,2500000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6125,Interior,STAG- Drinking Water State Revolving Fund,Environmental Protection Agency,,Wahkiakum County,Public Utility District #1 of Wahkiakum County for Puget Island Water System Mainline Improvement Project,,,261000.0,,2.0,S,130500.0,0,2,0.0,261000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6126,Interior,STAG- Drinking Water State Revolving Fund,Environmental Protection Agency,,Cowlitz County,Cowlitz County for Shadow Mountain Water System Extension and Booster Pump Station,,,1500000.0,,2.0,S,750000.0,0,2,0.0,1500000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6129,Interior,STAG- Drinking Water State Revolving Fund,Environmental Protection Agency,,Skamania County,Public Utility District No. 1 of Skamania County-Carson Water Treatment Plant Rebuild,,,3000000.0,,3.0,B,1000000.0,1,2,1000000.0,2000000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6554,Interior,STAG-Clean Water State Revolving Fund,Environmental Protection Agency,,Lake Stevens,City of Lake Stevens for Lake Stevens Outlet Restoration,,,500000.0,,1.0,S,500000.0,0,1,0.0,500000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6555,Interior,STAG-Clean Water State Revolving Fund,Environmental Protection Agency,,Long Beach,City of Long Beach for Lift Station Replacements,,,1670000.0,,2.0,S,835000.0,0,2,0.0,1670000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6560,Interior,STAG-Clean Water State Revolving Fund,Environmental Protection Agency,,Jefferson County,Jefferson County for a Port Hadlock Sewer Project,,,3000000.0,,2.0,B,1500000.0,1,1,1500000.0,1500000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6808,Homeland,Federal Assistance-PDM,FEMA,Hoh Indian Tribe,,Tsunami Evacuation Center,,,1875000.0,,2.0,S,937500.0,0,2,0.0,1875000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6873,Homeland,Federal Assistance-EOC,FEMA,Walla Walla County,Walla Walla County,Emergency Operations Center Relocation,,,750000.0,,3.0,B,250000.0,1,2,250000.0,500000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6901,EW,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Duwamish and Green River Basin,"Duwamish and Green River Basin, WA",,2000000.0,2000000.0,,2.0,S,1000000.0,0,2,0.0,2000000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6925,EW,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Puget Sound,"Puget Sound Nearshore Marine Habitat Restoration, WA",,6000000.0,6000000.0,,2.0,S,3000000.0,0,2,0.0,6000000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6954,EW,Investigations,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Bonneville,"Bonneville Lock and Dam, WA (Tribal Housing)",,100000.0,100000.0,,2.0,S,50000.0,0,2,0.0,100000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6963,EW,Investigations,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Columbia River,"Columbia River Turning Basin Navigation Improvements, WA & OR",,900000.0,900000.0,,3.0,B,300000.0,1,2,300000.0,600000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6971,EW,Investigations,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,John Day Lock and Dam,"John Day Lock and Dam, OR & WA (Tribal Housing)",,200000.0,200000.0,,2.0,S,100000.0,0,2,0.0,200000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,6990,EW,Investigations,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Tacoma Harbor,"Tacoma Harbor, WA",,1500000.0,1500000.0,,2.0,S,750000.0,0,2,0.0,1500000.0,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantwell,WA,S,7038,EW,Operation and Maintenance,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Mount St. Helens,"Mount St. Helens Sediment Control, WA",696000.0,160000.0,856000.0,,3.0,B,285333.3333,1,2,285333.3333,570666.6667,Maria,,,,Maria Cantwell,10/13/58,F,,1.0,Democrat,C000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1327,MilCon VA,,Army National Guard,Martinsburg,Martinsburg,National Guard Readiness Center: Planning and Design,,,1500000.0,,1.0,S,1500000.0,0,1,0.0,1500000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1409,THUD,Grants-in-Aid for Airports,Department of Transportation,,Morgantown,Morgantown Municipal Airport (MGW) Runway Extension,,,1000000.0,,2.0,S,500000.0,0,2,0.0,1000000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1965,THUD,Highway Infrastructure Programs,Department of Transportation,,,Huntington Welcome Center I-64 Exit 8,,,1750000.0,,2.0,S,875000.0,0,2,0.0,1750000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1966,THUD,Highway Infrastructure Programs,Department of Transportation,,,Coalfield Expressway,,,1500000.0,,2.0,S,750000.0,0,2,0.0,1500000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1967,THUD,Highway Infrastructure Programs,Department of Transportation,,,I-79 Exit 155,,,2000000.0,,2.0,S,1000000.0,0,2,0.0,2000000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1968,THUD,Highway Infrastructure Programs,Department of Transportation,,,Corridor H,,,5000000.0,,2.0,S,2500000.0,0,2,0.0,5000000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1969,THUD,Highway Infrastructure Programs,Department of Transportation,,,Weirton WV 2-Weirton Frontier Crossing,,,1500000.0,,2.0,S,750000.0,0,2,0.0,1500000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1970,THUD,Highway Infrastructure Programs,Department of Transportation,,,King Coal Highway,,,5000000.0,,2.0,S,2500000.0,0,2,0.0,5000000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,1971,THUD,Highway Infrastructure Programs,Department of Transportation,,,Charles Town Augustine Trail & Connectivity Project,,,1400000.0,,2.0,S,700000.0,0,2,0.0,1400000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,3705,THUD,Community Development Fund,Department of Housing and Urban Development,West Virginia Community Development Hub Inc.,,Princeton Renaissance Theater Rehabilitation,,,729000.0,,2.0,S,364500.0,0,2,0.0,729000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,3761,LHHS,Employment and Training Administration,Department of Labor,,Charleston,"City of Charleston, WV, for a summer youth jobs initiative",,,180000.0,,2.0,S,90000.0,0,2,0.0,180000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,3778,LHHS,Employment and Training Administration,Department of Labor,,,"ConnecTrainCorp, WV, for broadband technician training programs",,,604000.0,,2.0,S,302000.0,0,2,0.0,604000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,3895,LHHS,Employment and Training Administration,Department of Labor,,,"Region 4 Planning and Development Council, WV, for a training program, including equipment, curriculum, and supportive services",,,750000.0,,1.0,S,750000.0,0,1,0.0,750000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,3964,LHHS,Employment and Training Administration,Department of Labor,,,"West Virginia Higher Education Policy Commission, WV, for a behavioral health workforce program, including curriculum and supportive services",,,700000.0,,2.0,S,350000.0,0,2,0.0,700000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capito,WV,S,3965,LHHS,Employment and Training Administration,Department of Labor,,,"Wheeling Ironworkers Local 549, WV, for an apprenticeship program, including the purchase of equipment",,,500000.0,,2.0,S,250000.0,0,2,0.0,500000.0,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,,2.0,Republican,C001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
